max_rate,Sample_ID,village,Agar,1,2,3,4,5,6,7,8,9,10
0.23919107,C034_1,Village C,BD,1.05,1.19,1.57,2.01,2.45,3.15,3.82,3.75,4.23,3.81
0.260360808,C034_2,Village C,BD,0.37,0.41,0.51,0.59,0.66,1,1.44,1.25,1.24,1.28
0.217558421,C035_1,Village C,BD,0.81,0.92,1.08,1.51,1.75,2.26,2.63,2.78,3,2.6
0.223939335,C035_2,Village C,BD,0.8,0.88,1.06,1.45,1.72,2.23,2.61,2.67,2.93,2.58
0.25809038,C035_3,Village C,BD,0.36,0.4,0.5,0.59,0.66,0.98,1.41,1.15,1.16,1.21
0.231149493,C035_4,Village C,BD,0.96,1.07,1.34,1.74,2.15,2.82,3.31,3.2,3.67,2.82
0.235188242,C039_1,Village C,BD,1.05,1.18,1.5,1.97,2.43,3.11,3.79,3.66,4.18,3.8
0.251119126,C039_2,Village C,BD,0.4,0.5,0.58,0.8,0.81,1.38,1.55,1.72,1.53,1.41
0.201717317,C039_3,Village C,BD,0.24,0.33,0.4,0.49,0.54,0.59,0.88,0.93,0.93,0.98
0.221451607,C039_4,Village C,BD,0.59,0.68,0.86,1.14,1.26,1.7,1.95,2.02,2.1,1.86
0.243263227,C040_1,Village C,BD,0.47,0.62,0.73,1.09,1.12,1.67,1.85,1.96,1.95,1.85
0.248044644,C040_2,Village C,BD,0.87,1,1.22,1.61,1.97,2.72,3,3.07,3.44,2.64
0.2397213,C040_3,Village C,BD,0.97,1.1,1.41,1.76,2.23,2.9,3.32,3.22,3.83,2.97
0.235421749,C040_4,Village C,BD,1.05,1.17,1.5,1.96,2.39,3.1,3.78,3.55,4.15,3.77
0.228764772,C040_5,Village C,BD,1.1,1.29,1.67,2.06,2.472,3.34,4.07,4.21,4.37,4.52
0.229908622,C041_1,Village C,BD,0.45,0.54,0.67,0.88,0.95,1.44,1.68,1.9,1.83,1.52
0.227544661,C041_2,Village C,BD,1.08,1.24,1.61,2.07,2.47,3.17,3.92,3.83,4.28,4.08
0.248381637,C041_3,Village C,BD,0.99,1.1,1.44,1.82,2.26,3.04,3.62,3.51,3.92,3.45
0.236517985,C041_4,Village C,BD,0.85,0.95,1.18,1.57,1.92,2.43,2.83,2.96,3.29,2.62
0.22534446,C041_5,Village C,BD,0.39,0.45,0.54,0.65,0.74,1.03,1.47,1.5,1.3,1.28
0.218532969,C041_6,Village C,BD,0.4,0.49,0.58,0.77,0.79,1.1,1.53,1.66,1.48,1.32
0.221147817,C041_7,Village C,BD,0.47,0.62,0.73,0.99,1.05,1.66,1.76,1.95,1.9,1.7
0.203905772,C011_4,Village C,Oxoid,0.55,0.66,0.81,1.14,1.16,1.17,1.2,1.59,1.59,1.59
