DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,genome counts
COLOR,#808080
metawrap_0_100_bins_F07_bin.32,1
metawrap_0_100_bins_F07_bin.4,1
metawrap_0_100_bins_F08_bin.10,4
metawrap_0_100_bins_F08_bin.29,2
metawrap_0_100_bins_F08_bin.33,2
metawrap_0_100_bins_F08_bin.35,1
metawrap_0_100_bins_F08_bin.51,1
metawrap_0_100_bins_F08_bin.68,1
metawrap_0_100_bins_F08_bin.76,3
metawrap_0_100_bins_F09_bin.1,1
metawrap_0_100_bins_F09_bin.37,57
metawrap_0_100_bins_F09_bin.48,1
metawrap_0_100_bins_F10_bin.107,1
metawrap_0_100_bins_F10_bin.11,4
metawrap_0_100_bins_F10_bin.117,1
metawrap_0_100_bins_F10_bin.12,1
metawrap_0_100_bins_F10_bin.127,1
metawrap_0_100_bins_F10_bin.129,1
metawrap_0_100_bins_F10_bin.130,1
metawrap_0_100_bins_F10_bin.136,1
metawrap_0_100_bins_F10_bin.138,1
metawrap_0_100_bins_F10_bin.141,1
metawrap_0_100_bins_F10_bin.15,1
metawrap_0_100_bins_F10_bin.151,1
metawrap_0_100_bins_F10_bin.158,1
metawrap_0_100_bins_F10_bin.160,1
metawrap_0_100_bins_F10_bin.17,1
metawrap_0_100_bins_F10_bin.19,1
metawrap_0_100_bins_F10_bin.21,2
metawrap_0_100_bins_F10_bin.26,1
metawrap_0_100_bins_F10_bin.28,9
metawrap_0_100_bins_F10_bin.29,1
metawrap_0_100_bins_F10_bin.30,1
metawrap_0_100_bins_F10_bin.33,1
metawrap_0_100_bins_F10_bin.49,1
metawrap_0_100_bins_F10_bin.64,1
metawrap_0_100_bins_F10_bin.7,1
metawrap_0_100_bins_F10_bin.74,1
metawrap_0_100_bins_F10_bin.91,1
metawrap_0_100_bins_F10_bin.99,1
metawrap_0_100_bins_F11_bin.13,9
metawrap_0_100_bins_F11_bin.41,2
metawrap_0_100_bins_F11_bin.47,2
metawrap_0_100_bins_F12_bin.24,1
metawrap_0_100_bins_F12_bin.29,1
metawrap_0_100_bins_F12_bin.35,12
metawrap_0_100_bins_F12_bin.43,1
metawrap_0_100_bins_F14_bin.2,3
metawrap_0_100_bins_AB06_bin.35,3
metawrap_0_100_bins_AB06_bin.37,2
metawrap_0_100_bins_AB06_bin.39,8
metawrap_0_100_bins_AB06_bin.46,1
metawrap_0_100_bins_AB06_bin.7,1
metawrap_0_100_bins_AB06_bin.9,2
metawrap_0_100_bins_AB07_bin.10,12
metawrap_0_100_bins_AB07_bin.13,8
metawrap_0_100_bins_AB07_bin.24,4
metawrap_0_100_bins_AB07_bin.31,4
metawrap_0_100_bins_AB07_bin.56,22
metawrap_0_100_bins_AB09_bin.13,1
metawrap_0_100_bins_AB10_bin.22,1
metawrap_0_100_bins_AB10_bin.35,2
metawrap_0_100_bins_AB10_bin.61,10
metawrap_0_100_bins_AB10_bin.65,3
metawrap_0_100_bins_AB10_bin.84,1
metawrap_0_100_bins_AB11_bin.13,1
metawrap_0_100_bins_AB11_bin.20,1
metawrap_0_100_bins_AB11_bin.24,5
metawrap_0_100_bins_AB12_bin.19,3
metawrap_0_100_bins_AB12_bin.45,6
metawrap_0_100_bins_AB12_bin.8,1
metawrap_0_100_bins_AB13_bin.21,1
metawrap_0_100_bins_AB13_bin.28,1
metawrap_0_100_bins_AB13_bin.29,1
metawrap_0_100_bins_AB13_bin.43,1
metawrap_0_100_bins_AB13_bin.44,4
metawrap_0_100_bins_AB13_bin.60,6
metawrap_0_100_bins_AB13_bin.70,1
metawrap_0_100_bins_AB13_bin.80,1
metawrap_0_100_bins_C01_bin.12,2
metawrap_0_100_bins_C01_bin.28,1
metawrap_0_100_bins_C01_bin.31,1
metawrap_0_100_bins_C01_bin.40,2
metawrap_0_100_bins_C01_bin.42,1
metawrap_0_100_bins_C01_bin.47,1
metawrap_0_100_bins_C02_bin.1,1
metawrap_0_100_bins_C02_bin.10,2
metawrap_0_100_bins_C02_bin.19,14
metawrap_0_100_bins_C02_bin.24,1
metawrap_0_100_bins_C02_bin.30,2
metawrap_0_100_bins_C02_bin.36,7
metawrap_0_100_bins_C03_bin.14,8
metawrap_0_100_bins_C03_bin.15,1
metawrap_0_100_bins_C03_bin.24,2
metawrap_0_100_bins_C03_bin.28,1
metawrap_0_100_bins_C03_bin.4,1
metawrap_0_100_bins_C04_bin.21,1
metawrap_0_100_bins_C04_bin.25,1
metawrap_0_100_bins_C04_bin.49,1
metawrap_0_100_bins_C04_bin.55,1
metawrap_0_100_bins_C04_bin.84,1
metawrap_0_100_bins_C04_bin.87,5
metawrap_0_100_bins_C05_bin.3,4
metawrap_0_100_bins_C07_bin.12,1
metawrap_0_100_bins_C07_bin.18,1
metawrap_0_100_bins_C07_bin.3,1
metawrap_0_100_bins_C07_bin.31,1
metawrap_0_100_bins_C07_bin.34,2
metawrap_0_100_bins_C07_bin.49,1
metawrap_0_100_bins_C07_bin.69,1
metawrap_0_100_bins_C09_bin.1,2
metawrap_0_100_bins_C09_bin.22,1
metawrap_0_100_bins_C09_bin.27,3
metawrap_0_100_bins_C09_bin.29,5
metawrap_0_100_bins_C10_bin.1,4
metawrap_0_100_bins_C10_bin.12,1
metawrap_0_100_bins_C10_bin.13,1
metawrap_0_100_bins_C10_bin.19,4
metawrap_0_100_bins_C11_bin.11,1
metawrap_0_100_bins_C11_bin.41,2
metawrap_0_100_bins_C11_bin.46,2
metawrap_0_100_bins_C12_bin.12,1
metawrap_0_100_bins_C12_bin.13,1
metawrap_0_100_bins_C12_bin.21,1
metawrap_0_100_bins_C12_bin.30,1
metawrap_0_100_bins_C12_bin.36,1
metawrap_0_100_bins_C13_bin.18,1
metawrap_0_100_bins_C14_bin.16,1
metawrap_0_100_bins_C14_bin.18,1
metawrap_0_100_bins_C14_bin.28,4
metawrap_0_100_bins_C14_bin.29,2
metawrap_0_100_bins_C14_bin.36,1
metawrap_0_100_bins_C14_bin.53,1
metawrap_0_100_bins_C14_bin.67,7
metawrap_0_100_bins_C14_bin.73,3
metawrap_0_100_bins_C14_bin.81,1
metawrap_0_100_bins_C16_bin.12,3
metawrap_0_100_bins_C16_bin.20,2
metawrap_0_100_bins_C16_bin.25,1
metawrap_0_100_bins_C16_bin.28,2
metawrap_0_100_bins_C16_bin.44,1
metawrap_0_100_bins_C16_bin.5,1
metawrap_0_100_bins_C16_bin.50,11
metawrap_0_100_bins_C16_bin.9,1
metawrap_0_100_bins_C17_bin.14,1
metawrap_0_100_bins_C17_bin.20,1
metawrap_0_100_bins_C17_bin.24,1
metawrap_0_100_bins_C17_bin.28,1
metawrap_0_100_bins_C17_bin.32,1
metawrap_0_100_bins_C17_bin.33,2
metawrap_0_100_bins_C17_bin.34,1
metawrap_0_100_bins_C17_bin.44,8
metawrap_0_100_bins_C17_bin.47,1
metawrap_0_100_bins_C17_bin.57,1
metawrap_0_100_bins_C17_bin.61,1
metawrap_0_100_bins_C17_bin.64,1
metawrap_0_100_bins_C17_bin.73,2
metawrap_0_100_bins_C17_bin.8,1
metawrap_0_100_bins_C18_bin.11,1
metawrap_0_100_bins_C30_bin.20,1
metawrap_0_100_bins_C30_bin.37,1
metawrap_0_100_bins_C30_bin.77,1
metawrap_0_100_bins_C30_bin.8,1
metawrap_0_100_bins_C33_bin.10,21
metawrap_0_100_bins_C33_bin.6,3
metawrap_0_100_bins_C33_bin.9,4
metawrap_0_100_bins_C34_bin.13,2
metawrap_0_100_bins_C34_bin.22,3
metawrap_0_100_bins_C34_bin.49,1
metawrap_0_100_bins_C35_bin.8,1
metawrap_0_100_bins_C36_bin.23,9
metawrap_0_100_bins_C36_bin.52,1
metawrap_0_100_bins_C36_bin.59,2
metawrap_0_100_bins_C37_bin.9,2
metawrap_0_100_bins_C38_bin.1,1
metawrap_0_100_bins_C38_bin.10,1
metawrap_0_100_bins_C38_bin.12,1
metawrap_0_100_bins_C38_bin.14,1
metawrap_0_100_bins_C38_bin.31,1
metawrap_0_100_bins_C38_bin.33,1
metawrap_0_100_bins_C38_bin.47,1
metawrap_0_100_bins_C38_bin.54,1
metawrap_0_100_bins_C38_bin.59,1
metawrap_0_100_bins_C38_bin.68,10
metawrap_0_100_bins_C38_bin.84,5
metawrap_0_100_bins_C38_bin.90,2
metawrap_0_100_bins_C38_bin.91,2
metawrap_0_100_bins_C39_bin.17,1
metawrap_0_100_bins_C39_bin.8,1
metawrap_0_100_bins_C40_bin.13,2
metawrap_0_100_bins_C40_bin.15,19
metawrap_0_100_bins_C40_bin.18,1
metawrap_0_100_bins_C40_bin.2,1
metawrap_0_100_bins_C41_bin.23,1
metawrap_0_100_bins_C41_bin.31,1
metawrap_0_100_bins_UM01_bin.18,1
metawrap_0_100_bins_UM01_bin.30,1
metawrap_0_100_bins_UM01_bin.33,2
metawrap_0_100_bins_UM01_bin.42,2
metawrap_0_100_bins_UM01_bin.49,3
metawrap_0_100_bins_UM01_bin.5,6
metawrap_0_100_bins_UM01_bin.51,1
metawrap_0_100_bins_UM02_bin.15,1
metawrap_0_100_bins_UM02_bin.18,2
metawrap_0_100_bins_UM02_bin.2,8
metawrap_0_100_bins_UM02_bin.25,1
metawrap_0_100_bins_UM02_bin.28,1
metawrap_0_100_bins_UM02_bin.31,2
metawrap_0_100_bins_UM02_bin.33,2
metawrap_0_100_bins_UM02_bin.4,1
metawrap_0_100_bins_UM02_bin.40,2
metawrap_0_100_bins_UM03_bin.20,1
metawrap_0_100_bins_UM03_bin.26,1
metawrap_0_100_bins_UM03_bin.30,1
metawrap_0_100_bins_UM03_bin.35,3
metawrap_0_100_bins_UM03_bin.42,1
metawrap_0_100_bins_UM03_bin.7,1
metawrap_0_100_bins_UM04_bin.37,1
metawrap_0_100_bins_UM04_bin.41,1
metawrap_0_100_bins_UM04_bin.44,1
metawrap_0_100_bins_UM04_bin.46,8
metawrap_0_100_bins_UM05_bin.105,7
metawrap_0_100_bins_UM05_bin.106,11
metawrap_0_100_bins_UM05_bin.112,1
metawrap_0_100_bins_UM05_bin.114,1
metawrap_0_100_bins_UM05_bin.122,2
metawrap_0_100_bins_UM05_bin.124,2
metawrap_0_100_bins_UM05_bin.127,1
metawrap_0_100_bins_UM05_bin.15,1
metawrap_0_100_bins_UM05_bin.2,1
metawrap_0_100_bins_UM05_bin.22,1
metawrap_0_100_bins_UM05_bin.24,1
metawrap_0_100_bins_UM05_bin.25,1
metawrap_0_100_bins_UM05_bin.27,1
metawrap_0_100_bins_UM05_bin.31,1
metawrap_0_100_bins_UM05_bin.43,7
metawrap_0_100_bins_UM05_bin.46,1
metawrap_0_100_bins_UM05_bin.55,2
metawrap_0_100_bins_UM05_bin.65,2
metawrap_0_100_bins_UM05_bin.81,2
metawrap_0_100_bins_UM05_bin.89,1
metawrap_0_100_bins_UM05_bin.9,1
metawrap_0_100_bins_UM05_bin.93,1
metawrap_0_100_bins_UM06_bin.12,1
metawrap_0_100_bins_UM06_bin.4,14
metawrap_0_100_bins_UM07_bin.12,7
metawrap_0_100_bins_UM07_bin.2,1
metawrap_0_100_bins_UM07_bin.4,8
metawrap_0_100_bins_UM08_bin.11,1
metawrap_0_100_bins_UM08_bin.14,2
metawrap_0_100_bins_UM08_bin.24,2
metawrap_0_100_bins_UM08_bin.32,11
metawrap_0_100_bins_UM08_bin.49,33
metawrap_0_100_bins_UM08_bin.9,23
metawrap_0_100_bins_UM09_bin.13,10
metawrap_0_100_bins_UM09_bin.16,2
metawrap_0_100_bins_UM09_bin.17,2
metawrap_0_100_bins_UM09_bin.26,27
metawrap_0_100_bins_UM09_bin.29,1
metawrap_0_100_bins_UM09_bin.31,1
metawrap_0_100_bins_UM09_bin.34,1
metawrap_0_100_bins_UM10_bin.13,2
metawrap_0_100_bins_UM10_bin.30,10
metawrap_0_100_bins_UM10_bin.5,7
metawrap_0_100_bins_UM11_bin.17,1
metawrap_0_100_bins_UM11_bin.5,8
metawrap_0_100_bins_UM12_bin.19,2
metawrap_0_100_bins_UM12_bin.27,2
metawrap_0_100_bins_UM12_bin.28,1
metawrap_0_100_bins_UM12_bin.3,2
metawrap_0_100_bins_UM12_bin.38,4
metawrap_0_100_bins_UM12_bin.4,3
metawrap_0_100_bins_UM13_bin.23,23
metawrap_0_100_bins_UM13_bin.8,1
metawrap_0_100_bins_UM13_bin.9,1
metawrap_0_100_bins_UM14_bin.14,1
metawrap_0_100_bins_UM14_bin.15,1
metawrap_0_100_bins_UM14_bin.19,1
metawrap_0_100_bins_UM14_bin.21,3
metawrap_0_100_bins_UM14_bin.34,3
metawrap_0_100_bins_UM14_bin.41,1
metawrap_0_100_bins_UM14_bin.44,1
metawrap_0_100_bins_UM14_bin.47,1
metawrap_0_100_bins_UM14_bin.5,1
metawrap_0_100_bins_UM14_bin.52,1
metawrap_0_100_bins_UM14_bin.65,1
metawrap_0_100_bins_UM14_bin.68,1
metawrap_0_100_bins_UM14_bin.70,1
metawrap_0_100_bins_UM14_bin.73,3
metawrap_0_100_bins_UM14_bin.75,3
metawrap_0_100_bins_UM14_bin.77,1
metawrap_0_100_bins_UM14_bin.78,1
metawrap_0_100_bins_UM14_bin.82,2
metawrap_0_100_bins_UM15_bin.11,4
metawrap_0_100_bins_UM15_bin.21,5
metawrap_0_100_bins_UM15_bin.22,1
metawrap_0_100_bins_UM15_bin.24,3
metawrap_0_100_bins_UM15_bin.26,21
metawrap_0_100_bins_UM15_bin.37,1
metawrap_0_100_bins_UM15_bin.9,1
metawrap_0_100_bins_UM16_bin.15,1
metawrap_0_100_bins_UM16_bin.37,3
metawrap_0_100_bins_UM16_bin.49,1
metawrap_0_100_bins_UM16_bin.54,1
metawrap_0_100_bins_UM16_bin.55,2
metawrap_0_100_bins_UM16_bin.6,1
metawrap_0_100_bins_UM16_bin.67,1
metawrap_0_100_bins_UM16_bin.9,3
metawrap_0_100_bins_UM16_bin.94,2
metawrap_0_100_bins_UM17_bin.12,6
metawrap_0_100_bins_UM17_bin.29,35
metawrap_0_100_bins_UM17_bin.39,2
metawrap_0_100_bins_UM17_bin.41,1
metawrap_0_100_bins_UM17_bin.44,2
metawrap_0_100_bins_UM17_bin.46,3
metawrap_0_100_bins_UM17_bin.58,2
metawrap_0_100_bins_UM17_bin.70,1
metawrap_0_100_bins_UM17_bin.71,3
metawrap_0_100_bins_UM18_bin.14,2
metawrap_0_100_bins_UM18_bin.31,2
metawrap_0_100_bins_UM18_bin.52,1
metawrap_0_100_bins_UM18_bin.54,1
metawrap_0_100_bins_UM18_bin.69,4
metawrap_0_100_bins_UM19_bin.19,1
metawrap_0_100_bins_UM19_bin.3,5
metawrap_0_100_bins_UM19_bin.4,1
metawrap_0_100_bins_UM20_bin.13,1
